date,pm2_5,pm10,no2,so2,co,o3,aqi,temperature,humidity,precipitation,next_day_aqi,month,day_of_week,is_weekend,aqi_change_rate,aqi_rolling_3d,aqi_rolling_7d
2024-01-07,43.47916666666666,66.77083333333333,12.95,20.591666666666665,692.125,111.20833333333331,126.875,19.154166666666665,51.708333333333336,0.0,116.875,1,6,1,-14.083333333333343,132.94444444444446,121.125
2024-01-08,44.3625,67.23333333333333,28.916666666666668,22.2625,914.125,104.375,116.875,19.183333333333334,55.083333333333336,0.0,115.16666666666669,1,0,0,-10.0,128.23611111111111,121.45238095238096
2024-01-09,37.12083333333333,58.90833333333333,13.804166666666667,16.679166666666667,622.9583333333334,103.375,115.16666666666669,18.9875,48.333333333333336,0.0,106.91666666666669,1,1,0,-1.7083333333333144,119.6388888888889,122.55952380952382
2024-01-10,37.125,56.46666666666667,18.8625,19.7,656.5,101.83333333333331,106.91666666666669,18.2625,45.708333333333336,0.0,92.54166666666669,1,2,0,-8.25,112.98611111111113,120.33333333333334
2024-01-11,33.208333333333336,50.4875,36.54166666666666,22.67083333333333,842.875,74.875,92.54166666666669,17.829166666666666,50.04166666666666,0.0,104.0,1,3,0,-14.375,104.87500000000001,118.61904761904763
2024-01-12,37.0125,55.1375,54.25,27.95,866.375,59.41666666666666,104.0,18.425,49.958333333333336,0.0,113.33333333333331,1,4,0,11.458333333333314,101.15277777777779,114.76190476190479
2024-01-13,34.0125,53.76666666666667,49.00833333333333,13.920833333333334,840.0416666666666,52.625,113.33333333333331,18.429166666666667,76.125,0.0,77.45833333333333,1,5,1,9.333333333333314,103.29166666666667,110.81547619047619
2024-01-14,29.633333333333336,60.12083333333334,41.17083333333333,14.5375,662.875,71.70833333333333,77.45833333333333,20.466666666666665,79.625,0.0,132.83333333333334,1,6,1,-35.874999999999986,98.26388888888887,103.7559523809524
2024-01-15,54.84583333333333,99.8,35.49166666666667,18.8875,819.875,80.83333333333333,132.83333333333334,19.5375,71.70833333333333,0.0,102.79166666666669,1,0,0,55.375000000000014,107.875,106.03571428571429
2024-01-16,25.308333333333334,67.37083333333334,28.729166666666668,7.266666666666667,438.4166666666667,66.41666666666667,102.79166666666669,22.204166666666666,78.16666666666667,0.0,95.25,1,1,0,-30.041666666666657,104.36111111111113,104.26785714285714
2024-01-17,46.775,88.85000000000001,31.675,20.2375,687.2916666666666,80.16666666666667,95.25,22.075,57.958333333333336,0.0,148.29166666666666,1,2,0,-7.541666666666686,110.29166666666669,102.60119047619048
2024-01-18,61.11666666666667,96.69583333333333,26.120833333333334,25.975,871.4166666666666,111.95833333333331,148.29166666666666,20.625,51.708333333333336,0.0,147.625,1,3,0,53.04166666666666,115.44444444444446,110.56547619047618
2024-01-19,54.06666666666666,86.81666666666666,46.93333333333334,30.666666666666668,1053.5416666666667,100.70833333333331,147.625,20.0625,48.91666666666666,0.0,155.375,1,4,0,-0.6666666666666572,130.38888888888889,116.79761904761904
2024-01-20,55.85833333333333,93.4875,49.95416666666667,22.875,1182.25,89.0,155.375,20.425,78.04166666666667,0.5,135.33333333333334,1,5,1,7.75,150.43055555555554,122.80357142857143
2024-01-21,50.72083333333333,86.91666666666667,53.50833333333333,24.516666666666666,1013.375,80.41666666666667,135.33333333333334,21.129166666666663,62.375,0.0,151.41666666666666,1,6,1,-20.041666666666657,146.11111111111111,131.07142857142858
2024-01-22,52.3125,90.925,48.75,20.53333333333333,1023.2083333333334,79.70833333333333,151.41666666666666,20.179166666666667,66.33333333333333,0.0,110.25,1,0,0,16.083333333333314,147.375,133.72619047619048
2024-01-23,42.875,80.89166666666667,34.479166666666664,16.95,659.1666666666666,79.79166666666667,110.25,20.604166666666668,68.625,0.0,138.54166666666666,1,1,0,-41.16666666666666,132.33333333333334,134.79166666666666
